Artist,Genres,Popularity,Followers
Bruce Springsteen,,74,7279249
Brutus,,39,124983
Bryan Adams,,75,4752614
Buckcherry,,57,960028
Buckethead,,48,466192
Bullet For My Valentine,metalcore; metal,65,3490436
Burial,idm; ambient,48,512648
Buried In Verona,metalcore; post-hardcore; deathcore,25,42438
Bury Tomorrow,metalcore; metal; deathcore; post-hardcore,50,336888
Burzum,black metal; metal; dark ambient,47,523138
Bush,grunge; post-grunge,63,2097018
Byzantine,groove metal; thrash metal,18,15364
Cabaret Voltaire,industrial; ebm; post-punk; synthpop; experimental; industrial rock; cold wave; new wave; darkwave; avant-garde; krautrock,28,109961
Cage The Elephant,,72,4288194
Caliban,metalcore; deathcore; metal,38,203275
Caligula's Horse,progressive metal; djent; progressive rock,39,114027
CAN,krautrock; space rock; progressive rock; experimental; psychedelic rock; art rock; proto-punk,45,352609
Carach Angren,black metal; symphonic metal; metal,35,114509
Carbon Based Lifeforms,space music; ambient; downtempo; idm; dark ambient,46,181428
Carcass,death metal; grindcore; melodic death metal; metal,46,460360
Caribou,idm,53,721609
Carnifex,deathcore; death metal; metalcore; metal,39,272122
Caroline Polachek,art pop,66,644658
Carpenter Brut,synthwave; darkwave,53,462995
Carptree,progressive rock; art rock; progressive metal,3,5155
Casey,melodic hardcore; post-hardcore; metalcore,34,63670
Caspian,post-rock; math rock,32,122075
Cat Rapes Dog,ebm; industrial; industrial rock; deathrock,20,5550
Catfish and the Bottlemen,indie; indie rock,62,1175050
Catharsis,symphonic metal; power metal; neoclassical,15,6115
Cattle Decapitation,death metal; grindcore; deathcore; metal,44,275883
Cavalera Conspiracy,groove metal; thrash metal; metal; speed metal; death metal,37,335248
Cave In,mathcore; post-hardcore; space rock; metalcore; alternative metal; sludge metal; noise rock; stoner metal,28,61698
CELESTE,black metal; sludge metal; drone metal,24,37293
Cellar Darling,folk metal; symphonic metal; gothic metal; progressive metal,38,91074
Celldweller,synthwave; industrial metal; industrial rock; industrial,50,280532
Celtic Frost,black metal; thrash metal; metal; doom metal; speed metal; death metal; gothic metal,37,281708
cEvin Key,industrial; ebm; idm; industrial rock; industrial metal,11,15009
Chanel Beads,lo-fi indie,47,48495
Charli xcx,hyperpop; art pop,82,6258025
Charlotte de Witte,techno; acid techno; hard techno; tekno,59,1206779
Charon,gothic metal; gothic rock; symphonic metal; finnish rock; doom metal,36,52513
Chartreuse,,36,20656
Chat Pile,noise rock; sludge metal; drone metal; mathcore,41,96312
Chelsea Grin,deathcore; metalcore; death metal; metal; djent,47,551627
Chelsea Wolfe,southern gothic; doom metal,48,358254
Chevelle,alternative metal; nu metal; post-grunge,68,2153269
Chiasm,industrial; ebm; darkwave; industrial rock,23,13112
Children Of Bodom,melodic death metal; metal; death metal,54,809672
Chimaira,groove metal; metal; nu metal; metalcore,40,322918
Chloe Slater,,36,41589
Chris Cornell,grunge,58,2308702
Chris Isaak,,67,734597
Chris Rea,christmas,58,1145577
Christian Death,deathrock; gothic rock; post-punk; darkwave; cold wave; gothic metal; horror punk,43,233129
Christopher Franke,krautrock; new age,23,3852
Chroma Key,progressive rock; progressive metal; art rock; space rock,24,27463
Church Of Misery,sludge metal; stoner metal; doom metal; stoner rock; drone metal; drone,22,69488
Cigarettes After Sex,dream pop,83,17253311
Cinderella,glam metal; glam rock; hard rock,55,1886827
Circa Survive,post-hardcore; emo; screamo,50,375935
Circa Waves,indie,48,311507
Circus Maximus,progressive metal; progressive rock; power metal; norsk rock,27,66388
City and Colour,,53,895198
claire rousay,ambient; drone; experimental,28,24606
Clairo,bedroom pop,78,6569929
Clan of Xymox,darkwave; gothic rock; deathrock; post-punk; cold wave; ebm; new wave; industrial,40,194427
Clap Your Hands Say Yeah,,39,189360
Clawfinger,rap metal; nu metal; industrial metal,41,116382
Clinic,space rock; neo-psychedelic,32,51383
Cloudkicker,djent; post-rock; progressive metal; math rock,30,75811
Cloven Hoof,power metal; heavy metal; speed metal,19,25300
